City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,katsuren-haebaru,26.3369,127.8719,294.36,62,40,4.63,JP,1733817438
110,hami,42.8,93.45,270.22,60,100,1.7,CN,1733817438
111,qaqortoq,60.7167,-46.0333,268.6,71,100,5.35,GL,1733817438
112,callao,-12.0667,-77.15,292.99,82,40,3.09,PE,1733817438
113,bredasdorp,-34.5322,20.0403,301.17,27,95,0.49,ZA,1733817438
114,ribeira grande,38.5167,-28.7,291.91,68,75,8.75,PT,1733817438
115,hobyo,5.3505,48.5268,301.62,58,8,9.56,SO,1733817439
116,bizerte,37.2744,9.8739,281.15,87,40,1.54,TN,1733817439
117,labrador city,52.9463,-66.9114,248.25,73,0,2.57,CA,1733817439
118,magburaka,8.7167,-11.95,295.92,80,92,1.03,SL,1733817439
119,port mathurin,-19.6833,63.4167,298.26,75,94,5.76,MU,1733817439
120,les avirons,-21.2418,55.3394,300.2,61,75,9.77,RE,1733817439
121,nova sintra,14.8667,-24.7167,297.77,68,100,2.87,CV,1733817439
122,port elizabeth,-33.918,25.5701,299.99,58,20,4.63,ZA,1733817440
123,rio grande,-32.035,-52.0986,291.2,84,100,4.71,BR,1733817373
124,morlaix,48.5833,-4.0,280.41,87,100,3.6,FR,1733817440
125,yuzhno-kurilsk,44.0306,145.8556,272.96,60,97,9.79,RU,1733817440
126,kamina,-8.7386,24.9906,296.12,86,88,2.05,CD,1733817440
127,otjiwarongo,-20.4637,16.6477,305.15,22,8,4.55,NA,1733817440
128,nguigmi,14.2495,13.1092,298.52,23,76,7.23,NE,1733817440
129,sinan,34.8262,126.1086,280.18,66,88,7.07,KR,1733817441
130,dhidhdhoo,6.8833,73.1,300.91,71,99,2.5,MV,1733817441
131,bamboo flat,11.7,92.7167,303.2,79,75,1.54,IN,1733817441
132,buala,-8.145,159.5921,301.09,77,100,2.24,SB,1733817441
133,gurupa,-1.405,-51.64,296.17,98,24,1.42,BR,1733817441
134,eureka,40.8021,-124.1637,276.81,51,12,3.42,US,1733817441
135,santo antonio do ica,-3.1022,-67.9397,295.6,99,100,0.71,BR,1733817441
136,iskateley,67.6803,53.1512,270.18,95,100,8.82,RU,1733817442
137,papatowai,-46.5619,169.4708,287.82,63,100,2.14,NZ,1733817442
138,whitehorse,60.7161,-135.0538,269.58,85,100,8.23,CA,1733817442
